faq_type,intent,fist_title,second_title,third_title,question,answer
pratique,vehicule/assurance,FAQ Assurance et Vie pratique,Mon véhicule,Assurance,"Avec mon permis B "" voiture de tourisme "", puis-je conduire une moto de 125 cm3 (cylindrée ≤125 cm3 et puissance ≤11 kW) ?","Depuis le 1er janvier 2011, une formation de 7 heures est obligatoire pour les titulaires du permis B qui souhaitent conduire une motocyclette légère (de 50 à 125 cm3) ou un tricycle à moteur de plus de 50 cm3 ou dont la vitesse maximale excède 50 km/h. Cette formation spécifique doit être dispensée par une école de conduite ou une association agréée. À l’issue de cet enseignement, un certificat sera remis par l’école de conduite. Vous êtes néanmoins dispensé de la formation. En cas de contrôle par les forces de l'ordre, vous devez présenter immédiatement, en plus de votre permis de conduire. Le non-respect de cette réglementation est passible d'une amende de 4e classe d'un montant maximum de 750 €."
pratique,vehicule/assurance,FAQ Assurance et Vie pratique,Mon véhicule,Assurance,"Quelles sont les modalités d’assurance des mini-motos, moto de cross, quads ?","Tous ces engins, qu’ils soient homologués ou non, relèvent de l’obligation d’assurance des véhicules terrestres à moteur. Par conséquent, ils doivent être assurés au titre de votre contrat Vam, même s’ils ne circulent pas sur la voie publique. En outre, leur conduite nécessite d’être titulaire des titres ou permis exigés par la réglementation. En ce qui concerne les engins non homologués et dont la vitesse peut excéder 25km/h, ils doivent obligatoirement être déclarés en préfecture ; celle-ci attribue alors un numéro d’identification qui doit être gravé sur le véhicule et figurer également (sauf en cas de pratique sportive) sur une plaque d’identification. À noter : en cas de participation à des courses ou à leurs essais, aucune garantie n’est accordée."
pratique,vehicule/assurance,FAQ Assurance et Vie pratique,Mon véhicule,Assurance,Comment sont assurées les remorques ?,"Si vous attelez à votre voiture une remorque porteuse ou porte-bateau d'un Poids Total Autorisé en Charge (PTAC) inférieur à 751 Kg, les garanties Responsabilité civile, Défense et Recours sont acquises automatiquement sans déclaration préalable ni surcoût, y compris en cas d'emprunt à un tiers (mention "" RC Remorque porteuse < 751 kg "" figurant sur la carte verte). En savoir plus sur l'assurance remorque. En revanche, vous devez nous déclarer votre remorque si son poids total en charge dépasse 750 kg ou si vous souhaitez l’assurer en tous risques (accident, vol et incendie)."
pratique,vehicule/cas_accident,FAQ Assurance et Vie pratique,Mon véhicule,Cas accident,Comment utiliser le e-constat auto ?,"Votre application e-constat auto est dédiée aux accidents survenus entre deux véhicules terrestres à moteur (auto, deux et trois roues motorisés) immatriculés en France (métropole et DOM) n’ayant pas entraîné de dommages corporels. L’appli est également utilisable lorsqu’un seul véhicule est accidenté. Avec le e-constat auto, vous gagnez du temps. Le e-constat auto reprend les rubriques du constat papier et facilite votre déclaration grâce à de nombreuses fonctionnalités. Vous pouvez remplir le e-constat auto avec l’autre conducteur sur un ou deux smartphones. Dans tous les cas vous pourrez contrôler les informations saisies par l'autre conducteur. Un récapitulatif est transmis à chaque partie avant que le e-constat auto ne soit signé. Une fois votre e-constat auto signé, vous n’avez aucune démarche supplémentaire à effectuer : il est directement transmis à la MAIF pour une prise en charge rapide. Vous recevrez le récapitulatif des éléments renseignés par SMS, ainsi que le constat amiable en PDF à votre adresse email. L'application e-constat est téléchargeable sur Google Play et l’Apple Store ou en flashant directement le QR Code fourni sur votre carte verte. Il est préférable d’être équipé de son application avant que l’accident ne survienne. Pensez-y !"
pratique,vehicule/cas_accident,FAQ Assurance et Vie pratique,Mon véhicule,Cas accident,Puis-je toujours remplir un constat amiable papier ?,"Oui, le constat amiable papier reste toujours en vigueur."
pratique,vehicule/cas_accident,FAQ Assurance et Vie pratique,Mon véhicule,Cas accident,Mon contrat auto VAM comporte-t-il une garantie d’assistance en cas de panne ou d’accident ?,"Oui, l’assistance fait partie du socle de nos garanties. Les premières formules du contrat auto prévoient néanmoins une franchise kilométrique."
pratique,vehicule/cas_accident,FAQ Assurance et Vie pratique,Mon véhicule,Cas accident,"J'ai perdu ou on m'a volé mon permis de conduire, ou ma carte grise. Que faire ?","Pour obtenir une nouvelle carte grise, vous devez faire les démarches en ligne sur le site de la Préfecture. Vous devez fournir. Le règlement du montant de la carte grise doit obligatoirement être effectué par carte bancaire. 
À la suite de votre demande en ligne, vous obtenez. Vous la recevrez sous pli sécurisé à votre domicile. Vous pouvez suivre en ligne l'avancement de votre dossier."
pratique,vehicule/cas_accident,FAQ Assurance et Vie pratique,Mon véhicule,Cas accident,Qu'est-ce que la procédure Véhicule Gravement Endommagé en cas d'accident ?,"Les véhicules légers gravement endommagés sont soumis à une expertise obligatoire depuis 2009. A la suite d’un accident, la MAIF missionne de façon systématique un expert qui doit se prononcer sur la dangerosité du véhicule au regard de quatre critères : déformation importante de la carrosserie, de la direction, de la liaison au sol et des éléments de sécurité. L'expert informe la préfecture qui émet une interdiction de circuler en cas de défectuosité. Celle-ci sera levée après vérification par l'expert que les travaux effectués sur le véhicule lui permettent de circuler à nouveau en toute sécurité. La dématérialisation de la procédure (les rapports d'experts sont envoyés par informatique) permet de réduire au plus court la durée d'immobilisation du véhicule."
pratique,vehicule/cas_accident,FAQ Assurance et Vie pratique,Mon véhicule,Cas accident,Mon véhicule a été accidenté. Le garagiste agréé MAIF me propose d'utiliser des pièces recyclées. N'est-ce pas risqué ?,"Avec ses réparateurs et experts partenaires, la MAIF encourage autant que possible l’utilisation de pièces de réemploi pour la réparation des véhicules accidentés. Seules les pièces certifiées conformes peuvent être utilisées ; leur traçabilité est attestée par un recycleur partenaire MAIF également agréé VHU. Conformément aux dispositions légales en vigueur, les pièces concernant les trains roulants, les éléments de direction, les organes de freinage ne peuvent pas être réemployés. La pièce de réemploi permet de répondre à vos exigences de qualité tout en encourageant une économie plus responsable qui soutient l’emploi local. En abaissant le prix de la réparation, elle permet dans certains cas de transformer un véhicule économiquement irréparable en véhicule réparable, à votre grand bénéfice."
pratique,vehicule/declarer_sinistre,FAQ Assurance et Vie pratique,Mon véhicule,Déclarer un sinistre,Vous souhaitez déclarer un sinistre ?,Simplifiez vos démarches en déclarant votre sinistre en ligne. Vous pouvez aussi nous contacter par téléphone.
pratique,vehicule/declarer_sinistre,FAQ Assurance et Vie pratique,Mon véhicule,Déclarer un sinistre,Que faire en cas de panne ?,Contacter les services de MAIF Assistance 24h/24 et 7j/7 : 0 800 875 875 depuis la France (appel gratuit d'un poste fixe). 0033 5 49 77 47 78 depuis l'étranger.
pratique,vehicule/achat_vente,FAQ Assurance et Vie pratique,Mon véhicule,Achat ou vente de véhicule,Je veux changer ma 406. J'ai entendu dire que la MAIF accorde des prêts. Qu'en est-il ?,"Nous pouvons effectivement vous consentir un prêt auto pour l'acquisition d'une nouvelle voiture neuve ou d'occasion, cotée à l'Argus. Le prêt est accordé sur une période de 12 à 60 mois (et même jusqu'à 72 mois pour certains biens, par exemple les camping-cars). C’est sans aucun frais de gestion. La MAIF n’exige pas non plus d’apport personnel."
pratique,vehicule/achat_vente,FAQ Assurance et Vie pratique,Mon véhicule,Achat ou vente de véhicule,J'achète une voiture auprès d'un particulier. Quelles formalités dois-je accomplir ?,"Vous devez informer la MAIF avant la transaction, afin que le véhicule soit couvert dès la prise de possession. Vous recevrez ainsi votre nouvelle carte verte. L'assurance corporelle du contrat PACS si vous l’avez déjà souscrite, couvre automatiquement le conducteur et les passagers de ce nouveau véhicule. Sinon, nous vous conseillons de la souscrire. Pour obtenir votre carte grise, vous avez un délai d’un mois pour faire les démarches en ligne auprès de la préfecture. Vous devez fournir une copie numérique (photo ou scan) de plusieurs documents. Vous devez également renseigner le code de cession, remis par l'ancien propriétaire du véhicule lors de la transaction. Le règlement du montant de la carte grise doit obligatoirement être effectué par carte bancaire. Suite à votre demande en ligne, vous obtenez. Vous la recevrez sous pli sécurisé à votre domicile. Vous pouvez suivre en ligne l'avancement de votre demande."
pratique,vehicule/achat_vente,FAQ Assurance et Vie pratique,Mon véhicule,Achat ou vente de véhicule,Je vends ma voiture à un particulier. Quelles formalités vis-à-vis de l'acheteur et de l'administration dois-je accomplir ?,"Si vous vendez votre véhicule, vous devez aussitôt prévenir la MAIF pour mettre à jour votre situation et stopper la cotisation d'assurance. Nous pouvons également vous accompagner dans la vente et l'achat de votre véhicule. Il n'est désormais plus possible d'effectuer la démarche en se rendant à la préfecture (ou sous-préfecture) ou par courrier, vous devez effectuer vos démarches en ligne. Remettez au nouveau propriétaire. Dès que possible et au plus tard dans les 15 jours qui suivent la remise des documents au nouveau propriétaire, vous devez terminer l'enregistrement de la transaction en retournant sur le téléservice de la préfecture (Espace ANTS (lien)/ Mes démarches en cours). Plus d'infos sur les démarches : https://www.service-public.fr/particuliers/vosdroits/F1707"
pratique,vehicule/achat_vente,FAQ Assurance et Vie pratique,Mon véhicule,Achat ou vente de véhicule,Je vais vendre ma voiture qui a 3 ans. Dois-je la présenter au contrôle technique ?,"C'est inutile puisque votre voiture a moins de 4 ans. Tout véhicule doit passer son 1er contrôle technique dans les 6 mois précédant le 4ème anniversaire du jour de sa 1ère mise en circulation. Les visites périodiques sont ensuite renouvelables tous les 2 ans à partir de la date du contrôle précédent. En cas de vente d'un véhicule de plus de 4 ans, le contrôle doit dater de moins de 6 mois. Le vendeur fait effectuer le contrôle et doit remettre le procès-verbal à l'acheteur. Si les réparations obligatoires n'ont pas été effectuées, l'acheteur ne pourra obtenir la carte grise. A savoir : A partir du 20 mai 2018, votre véhicule devra passer un nouveau contrôle technique renforcé, à la suite de l'application d'une directive européenne visant à harmoniser le contrôle technique en Europe. L'objectif de l'Union européenne est de réduire de moitié le nombre de tués sur les routes."
pratique,vehicule/achat_vente,FAQ Assurance et Vie pratique,Mon véhicule,Achat ou vente de véhicule,Pouvez-vous me donner l'adresse d'un Centre de Contrôle Technique ?,"Vous êtes libre de choisir votre Centre de Contrôle Technique. En tant que sociétaire, vous pouvez néanmoins bénéficier d'une remise en vous adressant à un centre partenaire de la MAIF."
pratique,vehicule/achat_vente,FAQ Assurance et Vie pratique,Mon véhicule,Achat ou vente de véhicule,"Je vais vendre ma voiture de collection, dois-je la présenter au contrôle technique ?","Oui. Si le véhicule de collection est désigné comme tel sur la carte grise (le véhicule doit avoir plus de 30 ans), il est soumis au contrôle technique tous les 5 ans, au lieu de deux ans. Seuls les véhicules de collections datant d’avant 1960 (et dont le PTAC< 3,5 t) sont dispensés du contrôle technique."
pratique,vehicule/achat_vente,FAQ Assurance et Vie pratique,Mon véhicule,Achat ou vente de véhicule,Je donne ma voiture à mon fils. Suis-je obligé de changer la carte grise ? Quelles sont les démarches à faire ?,"Les mêmes qu'en cas de vente. Seule différence : sur le certificat de cession, vous devez mentionner « véhicule cédé le (date/heure) et non vendu »."
pratique,vehicule/achat_vente,FAQ Assurance et Vie pratique,Mon véhicule,Achat ou vente de véhicule,Je vends ma voiture à un garage. Quelles sont les formalités à accomplir ?,"Le professionnel à qui vous vendez votre voiture s'occupe des démarches administratives. Pour votre part, il vous appartient simplement de signaler à votre assureur la vente de ce véhicule et de détruire la carte verte."
pratique,vehicule/achat_vente,FAQ Assurance et Vie pratique,Mon véhicule,Achat ou vente de véhicule,Je veux vendre ma voiture à la casse. Que dois-je faire pour la carte grise ?,"Si vous décidez de faire détruire votre véhicule - une voiture, une camionnette ou un deux roues - vous devez le remettre à un centre VHU agréé (Véhicules Hors d’Usage). Ce véhicule doit impérativement être entier.
Pièces à fournir au centre VHU. Le centre VHU agréé vous remet un certificat de destruction. Muni de ce certificat, vous devez déclarer la destruction du véhicule auprès de la MAIF pour stopper vos cotisations. Le centre VHU se charge des démarches vis-à-vis de la préfecture."
pratique,vehicule/achat_vente,FAQ Assurance et Vie pratique,Mon véhicule,Achat ou vente de véhicule,Je vends ma voiture. Comment sécuriser la transaction ?,"Ne soyez jamais trop prudents. Evitez les règlements en espèces (sauf pour de petites sommes). Le chèque de banque reste le moyen de paiement le plus sûr, plus fiable qu’un chèque classique. Mais gare aux faux chèques de banque ! Pour éviter le risque d’arnaque, il est conseillé faire la transaction un jour ouvrable et de téléphoner à l’agence bancaire émettrice pour vérifier l’authenticité du chèque de banque. Ne composez pas le numéro noté dessus, il pourrait être factice et vous mettre en relation avec un complice se faisant passer pour la banque. Un autre moyen de sécuriser une transaction entre particulier, c’est de passer par un tiers de confiance. Ce que propose notre service d'achat de véhicule."
pratique,vehicule/achat_vente,FAQ Assurance et Vie pratique,Mon véhicule,Achat ou vente de véhicule,"J'ai déjà acheté mon nouveau véhicule, et je suis encore en possession de l'ancien. Comment suis-je couvert ?","Vos deux véhicules sont assurés. Tant que l’ancien véhicule n'est pas vendu, il reste couvert sans supplément de cotisation durant 30 jours à compter de la date de transfert d’assurance. Certaines garanties du contrat auto restent acquises : l’essai du véhicule en compagnie de l'acheteur dans un rayon de 10 km, le trajet aller-retour pour le contrôle technique, le vol du véhicule."
pratique,vehicule/prevention,FAQ Assurance et Vie pratique,Mon véhicule,Prévention et Sécurité routière,Que faire en cas de panne sur une autoroute française ?,"En cas de panne, allumez vos feux de détresse et garez-vous prudemment sur la bande d’arrêt d’urgence. Prenez votre gilet de sécurité et enfilez-le avant de sortir. Faites sortir vos passagers du côté droit du véhicule. Mettez tous les passagers à l’abri derrière la glissière de sécurité. Vous avez l’appli MAIF ? Il vous suffit de cliquer sur le bouton d’appel MAIF Assistance ou de composer le numéro 0 800 875 875 depuis la France (appel non surtaxé, coût selon opérateur). MAIF Assistance* envoie sur place une dépanneuse via le PC autoroutier. Vous n’avez pas à marcher jusqu’à la borne d’arrêt d’urgence ! De plus, vous recevrez un lien sur votre téléphone pour suivre l’arrivée du dépanneur en temps réel. Si vous n’avez pas de téléphone dans votre véhicule, rejoignez la borne d’arrêt d’urgence la plus proche en marchant derrière la glissière de sécurité. Prévenez les secours en appuyant sur le bouton de la borne d’appel (appel gratuit). Attention, seuls certains établissements, agréés par les pouvoirs publics, peuvent travailler sur autoroute, il est donc inutile d’appeler en direct une dépanneuse avec son téléphone mobile. Plus de conseils sur la conduite sur autoroute. * En cas de panne, MAIF Assistance intervient au-delà de 50 km de votre domicile (En France métropolitaine. Pour la Martinique : 20km). Sauf si vous avez souscrit l'option Panne 0km ou la formule Plénitude, MAIF Assistance intervient partout en France, y compris en bas de chez vous."
pratique,vehicule/prevention,FAQ Assurance et Vie pratique,Mon véhicule,Prévention et Sécurité routière,Mon fils a 8 ans. Le siège enfant est-il obligatoire ?,"Obligatoire depuis 1992, tout enfant jusqu’à ses 10 ans doit être installé en voiture selon un dispositif de retenue homologué, adapté à son âge, à son poids et à sa taille. Pour votre enfant de 8 ans, différents types d’équipement sont à envisager : Les équipements du groupe 2 sont destinés aux enfants de 15 à 25 kg (Taille jusqu’à 1m50), et se répartissent en deux familles : les rehausseurs avec dossier et les tables-boucliers. Les équipements du groupe 3 sont les rehausseurs avec ou sans dossier, destinés aux enfants de 22 à 36 kg. Pour les rehausseurs sans dossier, l'enfant doit mesurer plus de 1m25. "
pratique,vehicule/prevention,FAQ Assurance et Vie pratique,Mon véhicule,Prévention et Sécurité routière,"A vélo, est-il vrai que je peux emprunter un sens interdit ?","Depuis le 1er juillet 2010, les cyclistes peuvent circuler à double sens sur les voies à sens unique mais exclusivement dans les zones 30 et dans les zones de rencontre où la circulation est limitée à 20 km/h. C’est la règle générale dans l’ensemble de ces zones, sauf décision contraire de l’autorité investie du pouvoir de police. Ces dispositions ne concernent pas les deux-roues à moteur. Les usagers sont informés de ce double sens cyclable par les panneaux suivants. Sens interdit sauf aux vélos. Seuls les cyclistes circulent en sens inverse. Panneau indiquant aux usagers d’une voie sécante non prioritaire la présence de cyclistes dans le sens contraire à la circulation générale. Cette signalisation peut être complétée d’un marquage au sol. Circuler avec prudence : les cyclistes doivent redoubler de vigilance aux intersections, sorties de parking, de garage, passages pour piétons... les autres usagers pouvant omettre de vérifier des deux côtés avant de s’engager. Dans les zones de rencontre limitées à 20 km/h, priorité absolue aux piétons qui peuvent circuler sur la chaussée.
Les conducteurs de véhicules à moteur ne doivent pas perdre de vue que les cyclistes peuvent circuler en double sens dans ces deux zones et procéder aux vérifications qui s’imposent lorsqu’ils abordent ces voies."
pratique,vehicule/assurance_bateau,FAQ Assurance et Vie pratique,Mon véhicule,Assurance bateau,Dois-je assurer mon bateau ?,"L’assurance pour un bateau n’est pas obligatoire. En revanche, elle est fortement recommandée. Non seulement pour le matériel, mais surtout pour protéger l’équipage et offrir une assistance aux personnes. Bon à savoir : lorsque vous amarrez votre bateau dans un port, une attestation responsabilité civile vous sera demandée."
pratique,vehicule/assurance_bateau,FAQ Assurance et Vie pratique,Mon véhicule,Assurance bateau,Quel niveau de couverture d'assurance puis je choisir ?,"Il existe différents niveaux de couverture, soyez attentifs aux garanties que vous allez souscrire en fonction de votre pratique. Au tiers : Un premier niveau de couverture pour les dommages que vous causez. Lorsque vous choisissez ce niveau de couverture, certains assureurs peuvent vous proposer des options pour renforcer vos garanties en cas de sinistre. Toutefois, réfléchissez bien au coût qui pourrait être équivalent à une formule. Tous Risques:
Tous Risques. Une formule tous risques comprend dans la plupart des contrats. Une panne moteur peut vite arriver, prenez bien en compte ce problème. Vérifiez notamment auprès de votre assureur, l’assistance proposée (dépannage à quai, remorquage…). Faites attention également à ce que votre assistance vous couvre en cas de souci de propulsion ou de manœuvrabilité, panne de carburant, perte des clefs, problème d’alimentation électrique… Soyez vigilants, certains assureurs vous proposent ces garanties en option. Veillez également à vérifier que vous êtes couverts n’importe où : au port, en mer, en hivernage ou lors du transport de votre bateau. De plus, il est important pour vous de vérifier le montant des indemnisations garanties par garantie et les montants des franchises. Le saviez-vous ? En moyenne, un plaisancier navigue 5 à 10 fois par an. Certains assureurs vous proposent des solutions sur mesure qui s’adaptent à votre pratique. Pratique et économique."
pratique,vehicule/assurance_bateau,FAQ Assurance et Vie pratique,Mon véhicule,Assurance bateau,Quelles garanties ne pas négliger en matière d'assistance ?,"L’assistance aux personnes et aux biens : celle-ci peut parfois être proposée en option et alourdir au final votre budget. Prenez le soin de vérifier les services d’assistance proposés autant pour le bateau que pour l’équipage.
Par exemple : en cas d’indisponibilité du chef de bord suite à un accident, votre bateau peut-il être rapatrié par un skipper ? Bon à savoir : l’avarie est le problème n°1 des plaisanciers. Une bonne assistance doit au moins comporter une garantie dépannage depuis le quai jusqu’à au moins deux, voire six milles (environ 11km) des côtes ou d’un abri pour répondre à la quasi-totalité de vos navigations. Tout cela 24 / 24 et 7j/7."
pratique,vehicule/assurance_bateau,FAQ Assurance et Vie pratique,Mon véhicule,Assurance bateau,Quels sont les points à vérifier ? Check-list,"- Les types d'accident couvert - Les lieux - La période - Les pratiques : location de votre bateau, régate, ski nautique, plongée sous-marine... Vérifiez votre couverture, ou souscrivez des options. - L'annexe. Pense-bête : certains assureurs assurent les remorques via leur assurance auto. Dans le cas contraire, vérifiez bien qu'elle est couverte avec votre assurance bateau. - Les zones de navigations. Vous êtes généralement couvert en Europe, hors de cette zone vous devrez être couvert un contrat spécifique (traversée de l'Atlantique, tour du monde). - Les exclusions"
pratique,vehicule/assurance_bateau,FAQ Assurance et Vie pratique,Mon véhicule,Assurance bateau,"Accident, comment faire sa déclaration ?","Vous devez relater au mieux les circonstances et les dégâts : Déclaration écrite, contradictoire si présence d’un tiers, enrichie de témoignages et photos. Vous devez respecter un délai de 3 à 5 jours. Le rapport de mer est le document officiel que tout chef de bord peut être amené à rédiger afin d'éclairer les circonstances d'un accident ou incident (corporel ou matériel) survenu à son bord. Il a valeur de déclaration officielle devant les assureurs et les tribunaux. Sur le fond, le contenu du rapport de mer doit correspondre à la chronologie des faits consignés dans le livre de bord et aux éventuels témoignages sur l'événement. "
pratique,vehicule/assurance_bateau,FAQ Assurance et Vie pratique,Mon véhicule,Assurance bateau,"Un problème en mer, que faire ?","Contactez le Canal 16 (mobile 196 si à proximité des côtes) pour signaler le problème. Ensuite, c’est le CROSS qui déterminera les moyens d’intervention selon les circonstances, le danger imminent, les personnes blessées… L’intervention SNSM est gratuite pour les missions d’assistance aux personnes. En revanche, elle est payante pour les biens (600 €/heure en moyenne)."
pratique,vehicule/assurance_bateau,FAQ Assurance et Vie pratique,Mon véhicule,Assurance bateau,Quand dénoncer son contrat ?,"A l’échéance, par lettre recommandée moyennant un préavis de 1 mois ou à réception de l’avis d’échéance en cas d’augmentation de la prime."
